session,year,country,sentence
40,1985,ALB,"Indeed, during these four decades, the United Nations flag has been used to cover up acts of imperialist intervention and aggression, as in Korea, the Congo and the Middle East, to name only a few examples."
40,1985,SWE,The continuing armed intervention in Afghanistan by the Soviet Union constitutes a violation of the fundamental rules of international law and must be unequivocally condemned.
40,1985,SWE,For many years Kampuchea has been the victim of foreign intervention and convulsive internal strife.
40,1985,SWE,It is necessary to pursue the efforts to create conditions for the Kampuchean people again to determine their own future without external intervention and internal repression.
40,1985,UKR,"There is a growing threat of a direct armed intervention by the united States in Nicaragua, while military and other United States interference in the civil war in El Salvador is expanding and the threats and pressure against Cuba are continuing."
40,1985,ZWE,Instead of active policy intervention we seem to have resigned our fate to certain magical forces that would diffuse economic recovery through some random process of osmosis.
40,1985,ZWE,"Aggression, intervention, interference, discrimination, destabilization, colonialism and racism are the hallmarks of the Pretoria regime."
40,1985,ZWE,"We reiterate our opposition to the invasion of, interference with or intervention in the internal affairs of one country by another, be it in Grenada, El Salvador, Lebanon, Afghanistan, Kampuchea, Mayotte, East Timor, Chad or Western Sahara."
40,1985,MRT,Its territorial integrity must be respected and there must be no intervention in its internal affairs.
40,1985,NGA,"Afghanistan, Kampuchea and Central America, for instance, are sad reminders of unacceptable big Power intervention and interference in the affairs of small neighbors."
40,1985,TUN,"There is a clear field for foreign intervention and rivalry between the major-Powers which, for strategic reasons or out of self-interest, tend to accommodate themselves to the situation."
40,1985,TUN,"Foreign interference, in the form of armed intervention, is an obstacle to progress in Afghanistan and Kampuchea, whose populations are still being denied their inalienable right to determine their future and to have the government of their choice."
40,1985,TUN,We believe that this action springs from a conciliatory state of mind and respect for the legitimate rights of the States concerned and from the principles of non-intervention and self-determination of peoples that inspire us as a State of the Maghreb.
40,1985,MWI,"This long period of peace and tranquility is attributed to the untiring efforts of the world body, without whose intervention the world would have once again experienced another ghastly, savage and destructive war employing the most modern weapons of destruction."
40,1985,MWI,I would like the peoples of these regions to be afforded the opportunity to choose their own leaders and to determine their own destiny without foreign interference and intervention in their internal affairs.
40,1985,MWI,"We would like to see peace prevail Cyprus, and this could best be achieved if the two communities were afforded, without foreign intervention, the opportunity to hold further inter-communal and proximity talks."
40,1985,OMN,He believe that the instability there is due to the fact that the Horn of Africa has been continuously subjected to foreign intervention.
40,1985,MAR,"Ideological considerations and the difficulties inherent in the decision-making machinery have very often prevented the Organization from performing with the desired efficiency its functions in the settlement of such conflicts, which are maintained and exacerbated by outside intervention, the recruitment and financing of mercenaries and the granting of transit facilities to them."
40,1985,MAR,The Kingdom of Morocco supports the efforts of the countries concerned to establish regional co-operation and eliminate any intervention in their internal affairs.
40,1985,BOL,"The defense of national sovereignty, the right of peoples to self-determination and the principle of non-intervention are a guarantee of our national dignity, the sole reliable guarantee upon which our independence rests and to which we can have recourse in order not to be in thrall to the great Powers."
40,1985,BOL,My Government rejects any intervention or military occupation by foreign forces whenever it may occur.
40,1985,BRN,"If leaders of this world are fully committed to those principles, we can be spared from the misery and sufferings that are brought about by regional conflicts which most unfortunately still persist: the Iran-Iraq war, the problems in Lebanon, foreign intervention in Afghanistan and elsewhere."
40,1985,BRN,Brunei Darussalam always believes in the principle that foreign intervention of a sovereign country cannot be condoned.
40,1985,KWT,"The common denominator in all these problems, as we see it, is the intervention by major Powers in a way that will not help their solution."
40,1985,AGO,"""In addition to the air raids of 17 September and the intervention of battalion Buffalo in military operations against the Angolan forces, which the Angolan Government condemned and denounced at the time, pointing out the material damage and the loss of human lives caused, I am herewith reporting a new South African offensive, with the intervention of military forces whose number has not yet been determined and which were landed in the territory of the People's Republic of Angola from Namibia, the territory illegally occupied by South Africa."
40,1985,AGO,"This was the case in Cabinda, where United States oil interests could have been harmed if it had not been for the prompt intervention of the Angolan defense forces, which neutralized the special racist commando unit whose mission it was to destroy the Malongo oil installation in Cabinda, a province situated more than 2,000 kilometers from the Namibian-Angolan border."
40,1985,AGO,"The actual situation is characterized by the direct intervention of the South African army against Angola with the objective of defending the puppets of the so-called UNITA, long since denounced as the South African army's surrogates, whose objective is to destabilize Angola."
40,1985,AGO,"The People's Republic of Angola urges all States in South-East Asia to co-operate in order to avoid new threats to peace and security in the region, and to adopt measures to create favorable conditions for permanent, balanced and harmonious relations among the countries of the region, in accordance with the principles of peaceful coexistence, respect for sovereignty and national independence, territorial integrity and non-intervention and non-interference in the internal affairs of other states."
40,1985,SLV,"El Salvador believes that to arrive at a just and lasting solution it is essential that the foreign military forces withdraw from the occupied territories and that there be a cessation of acts of intervention in the internal affairs of the country, in order to restore the independence, sovereignty and territorial integrity of Kampuchea."
40,1985,SLV,"Also, they must try to set out in a direction which removes this question from the influences of the East-West conflict through verifiable measures to eliminate factors of intervention and permit our peoples to choose their own democratic paths to development."
40,1985,NPL,Our commitment to the principles of non-interference and non-intervention in the internal affairs of other States and our high regard for international justice and human values have led us to base our policy of non-alignment on the purposes of the United Nations.
40,1985,GRC,The Greek Government is also concerned with two cases of continuing foreign intervention in Asia: I am referring here to Afghanistan and Kampuchea.
40,1985,BGR,There is a growing threat of open military intervention against Nicaragua.
40,1985,SUR,"Political instability, resulting from armed conflicts, intervention and interference and the dangerous arms race, is hampering global development and the establishment of a viable economic order, since political freedom and economic progress are inseparable."
40,1985,SUR,"Our position is based on the fundamental principles of respect for the national sovereignty of States, the right of self-determination, the principles of non-intervention and non-interference, the settlement."
40,1985,CHN,"The Afghan issue is in essence one of armed aggression against, intervention in and occupation of a non-aligned country by large numbers of troops dispatched by a super-Power, which have not only grossly trampled on the norms guiding international relations but also posed a grave threat to the peace and security of neighboring regions."
40,1985,CHN,We are opposed to any outside intervention in the affairs of the Central American countries.
40,1985,GTM,"Humberto Mejia Victores, has maintained a steadfast policy of respect for the principles and norms of international law and the principles and purposes of the Charter of the world Organization- particularly with regard to the sovereign equality of States, the territorial integrity, independence and self-determination of peoples, non-intervention, the maintenance of international peace and security, the promotion of and full respect for human rights and the strengthening of co-operation among nations."
78,2023,ERI,They are ruthlessly instrumentalized to foment crises and provide plausible pretexts for military intervention.
78,2023,BIH,"the intervention of the High Representative, by means of legal violence and the suspension of the Entity Constitution for twenty-four hours, which is an inconceivable precedent in the democratic world, did not remove obstacles to the normal functioning of the state, but rather strengthened the undemocratic ethnic principle and deepened the discrimination of citizens in the Constitution and the Electoral Law."
78,2023,PRK,"The DPRK will, in the future, too, forge unity and cooperation with all countries and nations that aspire after independence and love justice while opposing and rejecting aggression, intervention, domination and subordination, regardless of 8differences in ideas and systems."
78,2023,IRN,"Today's situation in Afghanistan is another manifestation of the effects of Western intervention in the region, which led to the killing of more than 170,000 men, women and children."
78,2023,VEN,"Many attempts have been made to sow a media matrix, through so-called ""fake news,"" with the aim of deploying humanitarian intervention in our country, in flagrant violation of our sovereignty."
78,2023,PSE,"But the Israeli government is obstructing this by its decision to prevent elections from being held in East Jerusalem, inspite of the significant intervention of many countries, as well as regional and international organizations, to enable our Palestinian people in Jerusalem to vote and run in these elections."
78,2023,NIC,"President : Brother and Sister Delegates: The People of Nicaragua salute the Peoples represented in this 78th General Assembly of the United Nations, with our heads held high, as always, because we have managed to live overcoming all the tragedies and catastrophes imposed by the history of domination, cruelty, intervention, occupation and interference in all aspects of our life, including our electoral processes, intervened in by the empires and their economic and military might, with which have tried to destroy us, to dominate us."
78,2023,NIC,"This, of course, does not restore lives; it does not alleviate the broken hearts of so many families and individuals, but at least it rebuilds, for all Nicaraguans, the economic, social, productive, cultural infrastructure, which those responsible shattered with their grotesque intervention, but which as5 always, every time, was defeated by the honor, integrity and glory of Nicaragua’s Spirit, by the Grace of God."
78,2023,NIC,"We are Peoples and Countries that resist and fight the blockades, the economic warfare, the systematic and permanent intervention in the Social, Cultural, Economic and Politi- cal Life of all our institutions."
78,2023,DMA,There was no talk of sanctions or military intervention to restore the ousted governments.
78,2023,DMA,"President, we are witnessing what I refer to as the African Summer and we are hearing the drum beat of sanctions and military intervention."
78,2023,DMA,"What is the difference between the Arab Spring and the African Summer, I ask? The international community should pay heed to the wisdom of the leaders of the African Union, who have opposed military intervention and urged diplomatic engagement."
78,2023,DMA,"The question is, whose interest would military intervention serve? Certainly not the people of Africa."
78,2023,DMA,"7We in Dominica and the Caribbean urge, that in all such situations, that the interest of the population be foremost in any consideration of intervention by neighbouring countries and indeed by the international community."
78,2023,DMA,"President, 17The prevailing situation in our fellow CARICOM Member State of Haiti is a dire one which deserves urgent international intervention."
78,2023,KEN,The second financing intervention relates to concessional financing.
78,2023,TUR,Any military intervention in Niger risks plunging this country and the entire region into deeper instability.
12,1957,ESP,"The action recently undertaken there, which was repugnant to the conscience of modern man, was halted during our last session by the able intervention of the United Nations and, let us say so frankly, the quick and intelligent comprehension of two European nations."
12,1957,FRA,"Do they feel they are right in encouraging outside intervention calculated to prolong the bloody phase of the struggle or in asking the United Nations to intervene in a conflict which it has neither the right nor the means to settle? Do they think that their attitude has played an insignificant part in encouraging the rebels to reject, as they have done so far, the repeated French proposals for a cease-fire, followed by free elections? Do they know of any other more democratic expression of the right of peoples to self-determination than free elections? 140."
12,1957,FRA,"In any case, France is justified in expecting the General Assembly to take up the discussion of Algeria calmly and objectively, and, above all, to beware of taking any stand which constitutes unlawful and uncalled-for intervention in matters which are not within its competence and might well have disastrous consequences for the authority and future of our Organization."
12,1957,ARG,"The Soviet delegation has submitted a draft declaration [A/3673] whereby the General Assembly would call upon all States to base their mutual relations upon the following principles: ""mutual respect for one another's territorial integrity and sovereignty; non-aggression; non-intervention in one another’s domestic affairs on any economic, political or ideological grounds whatsoever; equality and mutual benefit; and peaceful coexistence."
12,1957,POL,"The principles of peaceful coexistence contained in the declarations of China and India, in other bilateral declarations, and then proclaimed at the historic Bandung Conference, have become crystallized generally in recommendations for mutual respect for territorial integrity, national sovereignty, non-aggression, non-intervention in the internal affairs of States, equality and peaceful coexistence."
12,1957,SDN,"Our position on this question was dictated not by opportunism or animosity towards any country, but by our sincere belief that armed intervention, or any other intervention for that matter, in the domestic affairs of an independent and sovereign State should not be accepted among the principles that govern relationships between independent and sovereign States, irrespective of the reasons which might have led to this state of affairs."
12,1957,NPL,"Whatever might have been the criticisms, the intervention of the United Nations through an emergency force in November 1956 certainly brought about the acceptance of a cease-fire and the subsequent withdrawal of the Anglo-French and Israel forces from Egyptian territory."
12,1957,NPL,"To those who were inclined from the beginning to believe that the Assembly's action on Hungary would be altogether futile, may I pose a simple and direct question: If the Assembly had passed over in silence the intolerable situation that occurred in Hungary last fall as a result of foreign armed intervention, would it have redounded to the credit of the United Nations in any way? Would such a course of action have better served the cause of peace, humanity and the freedom of smaller nations? In my opinion, such an attitude of timidity or inaction on the part of the United Nations would have seriously damaged its reputation as an organization pledged primarily to secure the freedom and rights of every Member nation."
12,1957,NPL,"We do not approve of foreign interference in the affairs of any nation, let alone armed intervention."
12,1957,DOM,"The Dominican Republic supported the decisions taken by the United Nations in the case of Hungary because it considered that its abstention would imply a lack of respect towards its own history, for while any intervention in the domestic affairs of a State is to be condemned as an international crime, it is most repugnant when it takes the form of military intervention, accompanied by the most inhuman treatment of a people which has struggled to establish a new order in keeping with the upsurge of nationalism throughout the world."
12,1957,LAO,"In other words, coexistence can be conceived only within the framework of Independence and non-intervention."
12,1957,LAO,"One ill-considered act of intervention is sufficient to bring to nothing years of effort, solidarity, mutual aid and understanding."
12,1957,LAO,This spirit of non-intervention and understanding will be essential if we are to solve one of the major difficulties of our national political life.
12,1957,LAO,"Peaceful coexistence and harmony cannot, as I said earlier, be conceived except within the framework of mutual respect for territorial integrity and independence, Passive acceptance of foreign intervention would lead only to enslavement."
12,1957,BLR,"As in the past, the delegation of the Byelorussian SSR will resolutely oppose any efforts at United Nations intervention in the internal affairs of Hungary."
12,1957,BLR,"The draft contains an appeal to States to be guided in their relations with, one another by the following principles: mutual respect for territorial integrity and sovereignty, non-aggression, non-intervention in one another’s domestic affairs, equality and mutual benefit, and peaceful coexistence."
12,1957,BLR,"Dulles wished to intimidate the General Assembly by saying that the Eisenhower doctrine would be applied to Syria, that is that there would be armed intervention in the Middle East."
12,1957,SLV,"El Salvador, one of the founder Members of this Organization and also a founder member of important regional bodies such as the Organization of American States and the Organization of Central American States, has at all times distinguished itself by its spirit of solidarity and by its support of the great moral and legal principles on which the coexistence of nations is based — the principles of the juridical equality of States, the right of peoples to self-determination and the principle of non-intervention by one State in the affairs of another."
12,1957,URY,"My delegation was among those which voted in favour of his election to that high office, and it welcomed the wise intervention of the Secretary for External Relations of Mexico, Mr."
12,1957,URY,"In the first case - the war between Israel and Egypt and the subsequent armed intervention in the Suez Canal area - the General Assembly assumed its supplementary powers in the delicate matter of preserving the peace, as it had done in 1950 when faced with the aggression against the Republic of Korea."
12,1957,PAN,"Undoubtedly, the intervention of the United Nations in the Suez Canal conflict was an extraordinary triumph for our Organization."
12,1957,PAN,"Over and above agreement of a political nature, the Latin Americans respect the principle of non-intervention in the domestic affairs of other States, but we protest when this argument is used as a pretext for subjugating defenceless peoples."
12,1957,UKR,"The draft declaration, as we know, sets forth five principles of peaceful coexistence, namely: mutual respect for one another's territorial integrity and sovereignty; non-aggression; non-intervention in one another's domestic affairs on any economic, political or ideological grounds whatsoever; equality and mutual benefit; and peaceful coexistence."
12,1957,CHN,"That regime had suddenly found itself deserted by the people, by its own army and its own police force, and was restored only by the intervention of Soviet troops."
12,1957,AUS,"These five principles are as follows: mutual respect for one another's territorial integrity and sovereignty; non-aggression; non-intervention in one another’s domestic affairs on any economic, political or ideological grounds whatsoever; equality and mutual benefit; and finally, peaceful coexistence."
12,1957,CHL,"Without the intervention of world organs, economic equilibrium cannot be achieved, and the United Nations cannot remain indifferent to a situation which vitally affects the welfare and development of many countries."
12,1957,CSK,"Under this doctrine, which was enacted into law, the Government of the United States announced a programme of intervention in the domestic affairs of the sovereign States in the Near and Middle East, a programme for a new colonial enslavement of the Arab peoples, the implementation of which implies the use of United States armed forces."
